Y;X;Bed
-7.701702843;111.166209535;1614.8
-7.701770880;111.179178340;1954.6
-7.701878587;111.186030477;2019.5
-7.701964933;111.189449578;1982.6
-7.702073730;111.192879344;1845.6
-7.701758586;111.201399478;1505.7
-7.701860375;111.207066065;1490.1
-7.701966407;111.212120381;1447.3
-7.702187392;111.218569980;1209.0
-7.702217402;111.221082747;1275.4
-7.702411111;111.229098222;1111.0
-7.702513143;111.233285140;1024.9
-7.702014179;111.238481608;974.3
-7.702084941;111.241094432;925.4
-7.702202273;111.245665621;809.3
-7.702310256;111.251439497;808.4
-7.702431090;111.258163219;825.6
-7.702494330;111.261385699;775.0
-7.702641793;111.268513972;717.0
-7.703469557;111.277318311;660.3
-7.704822055;111.281497000;629.9
-7.706513732;111.286351144;600.8
-7.708515606;111.289963629;525.1
-7.711377614;111.290195016;554.9
-7.716409174;111.288391615;600.6
-7.719822066;111.284426071;629.7
-7.723171236;111.278792979;684.8
-7.725573574;111.271667829;713.1
-7.725744171;111.264884388;755.2
-7.725607451;111.258442539;753.5
-7.725323331;111.247752837;859.4
-7.725162623;111.242247727;903.0
-7.725104872;111.240307430;958.4
-7.724950564;111.233267392;976.7
-7.723238868;111.223518517;1309.0
-7.723036927;111.221497471;1508.1
-7.722916297;111.216439312;1532.9
-7.722815948;111.212334234;1583.4
-7.722729412;111.210422708;1620.4
-7.722610499;111.204451723;1619.6
-7.722034489;111.200644662;1867.6
-7.722331331;111.195056996;1380.1
-7.722101303;111.190329041;1569.6
-7.721961071;111.185622546;1584.7
-7.721768700;111.179684742;1733.9
-7.721789536;111.175259572;1589.8
-7.722066265;111.169566063;1544.8
-7.721975724;111.167078435;1627.5
-7.721969516;111.161033446;1469.4
-7.721803416;111.155743870;1538.1
-7.722238337;111.149524461;1285.9
-7.722305797;111.146222826;1158.2
-7.722272206;111.140752086;1078.5
-7.722214901;111.138552204;1129.3
-7.722887261;111.133922238;982.2
-7.723085211;111.128208122;978.9
-7.723050117;111.126627181;996.4
-7.723364980;111.123345297;954.4
-7.723379551;111.121349864;875.0
-7.725190941;111.116858590;909.3
-7.727046523;111.112947977;851.6
-7.730149775;111.106080006;799.7
-7.732974161;111.100466752;756.6
-7.735509125;111.095799523;668.9
-7.737425227;111.094424151;680.4
-7.741162622;111.093821338;711.1
-7.745338836;111.092681248;655.6
-7.749501427;111.092889808;643.5
-7.751090846;111.094177342;649.4
-7.753687523;111.096686509;663.4
-7.755048150;111.100487577;639.5
-7.755729838;111.102387672;638.3
-7.756403940;111.108553609;676.3
-7.756802774;111.115321387;699.3
-7.756850902;111.117230604;724.2
-7.756832639;111.123436399;766.0
-7.756845784;111.127973197;815.9
-7.756667677;111.130135133;742.0
-7.755949910;111.135401692;868.4
-7.755303002;111.139627380;912.4
-7.755401528;111.144726215;927.5
-7.755089554;111.155029440;999.9
-7.754297752;111.163958921;1035.4
-7.754274573;111.171959179;1101.1
-7.754414445;111.174476721;1052.4
-7.754337390;111.182418092;1032.8
-7.753947401;111.191980505;956.2
-7.753742988;111.198995527;958.8
-7.753793651;111.202180895;960.0
-7.753609291;111.204115243;886.1
-7.752442281;111.210514310;937.9
-7.752183385;111.212440707;905.8
-7.752093359;111.221092550;867.1
-7.752200475;111.227161310;844.3
-7.752496398;111.236825514;769.0
-7.752684425;111.241066157;709.4
-7.752842930;111.247512719;664.8
-7.753201416;111.253227265;709.0
-7.755084946;111.263252636;627.9
-7.755791967;111.266781489;627.4
-7.757611227;111.272984516;538.6
-7.758824246;111.276991745;635.0
-7.760420327;111.281687868;663.8
-7.762978219;111.284489075;706.0
-7.762967982;111.284791308;710.3
-7.765221673;111.284786706;693.2
-7.767193805;111.284510865;653.5
-7.771070044;111.280090287;578.6
-7.772984847;111.272150747;506.4
-7.773501908;111.267915224;521.3
-7.773339810;111.259856323;536.8
-7.773157162;111.252740712;567.8
-7.773032497;111.245669019;565.9
-7.772725638;111.237230798;635.0
-7.772569350;111.231749349;678.5
-7.773717190;111.225628823;684.8
-7.773961035;111.223366593;710.5
-7.775107436;111.216612434;700.6
-7.775882921;111.207938861;696.8
-7.775792774;111.206007881;765.4
-7.775589907;111.199277159;803.4
-7.775501472;111.194798331;774.4
-7.775356143;111.192238725;841.2
-7.775259834;111.187446606;833.2
-7.775425577;111.181988513;722.2
-7.775271768;111.178798270;776.4
-7.775093295;111.174015374;815.5
-7.775188398;111.171105540;729.1
-7.774921804;111.165066699;814.7
-7.774862353;111.160905978;806.7
-7.775288517;111.158287458;732.0
-7.775527996;111.154442003;741.2
-7.775473922;111.152206838;749.2
-7.775756922;111.148988927;724.0
-7.775677797;111.146120381;744.5
-7.775696960;111.141585171;719.0
-7.775653997;111.138049076;698.7
-7.775649024;111.133189648;662.7
-7.775580998;111.128689734;652.3
-7.775541119;111.124168386;640.0
-7.776189840;111.120894093;601.7
-7.776103619;111.116726988;589.7
-7.776075893;111.112837977;585.5
-7.776081853;111.110221993;566.3
-7.776083273;111.109894228;561.1
-7.776090171;111.107274267;521.4
-7.775386814;111.104730336;543.0
-7.774121592;111.103762852;519.2
-7.771160193;111.101287686;571.0
-7.769839162;111.100376520;571.1
-7.766867020;111.098905061;607.3
-7.764990710;111.098247247;582.4
-7.762083844;111.098347175;584.0
-7.753734120;111.098595658;655.5
-7.750515291;111.098707213;673.8
-7.745747200;111.098796982;685.4
-7.741835518;111.099019992;736.4
-7.736146217;111.099419030;731.0
-7.731328830;111.099944852;802.9
-7.726599949;111.100313099;796.9
-7.719587039;111.101200973;842.5
-7.715175044;111.102231805;854.8
-7.708807215;111.102466030;861.6
-7.702858627;111.102663483;771.6
-7.699027366;111.102878334;887.4
-7.693978623;111.102851661;792.6
-7.690162108;111.103069250;874.9
-7.687955431;111.102982190;784.3
-7.682574341;111.103504370;857.7
-7.680997015;111.103810998;849.1
-7.675936294;111.104455527;783.5
-7.668021007;111.104937159;785.9
-7.661995162;111.104728793;792.8
-7.655313312;111.104158504;769.8
-7.647697329;111.103673484;762.9
-7.642343683;111.103537268;826.6
-7.638204352;111.103570410;805.1
-7.636295154;111.103587927;791.7
-7.632478494;111.103633615;787.6
-7.628342053;111.103683710;763.4
-7.626128710;111.103733679;767.6
-7.624863632;111.103762126;771.1
-7.622010261;111.103812494;786.2
-7.616932051;111.103896940;761.2
-7.614066395;111.103933937;758.6
-7.610866605;111.103957660;739.4
-7.604578380;111.104135434;778.9
-7.599725562;111.104119715;739.6
-7.596626227;111.104252329;748.2
-7.593036835;111.104533774;882.1
-7.590176527;111.104571780;896.4
-7.586420974;111.104385872;745.2
-7.581827990;111.104336114;668.2
-7.580549142;111.104352933;683.6
-7.575949221;111.105206538;719.9
-7.572695922;111.105518771;712.9
-7.569653727;111.105745568;610.9
-7.565958429;111.107169102;680.2
-7.561558766;111.108644629;559.8
-7.559291084;111.110249550;543.1
-7.557902863;111.111681728;585.4
-7.555865925;111.116599971;637.5
-7.555794659;111.119926483;678.2
-7.555332496;111.121437464;664.4
-7.555360906;111.123993499;624.6
-7.557018333;111.125590526;639.0
-7.560330393;111.126872051;677.9
-7.568130030;111.128416878;747.1
-7.577040759;111.128468049;882.3
-7.583474214;111.128421993;936.3
-7.585313113;111.128350791;917.7
-7.591885386;111.127470325;1048.0
-7.600788987;111.125860161;930.0
-7.613379783;111.124329112;895.9
-7.618418278;111.123278925;911.7
-7.626966298;111.121893370;928.9
-7.634921752;111.121216056;1016.4
-7.636828656;111.120584247;1023.9
-7.644335077;111.119410662;962.0
-7.648410452;111.118358447;940.9
-7.655613624;111.117459821;901.7
-7.657471587;111.116701559;831.6
-7.660974965;111.116709530;878.3
-7.666694146;111.116434432;960.3
-7.670478180;111.116055189;964.2
-7.675846682;111.115979234;974.0
-7.682158028;111.115754689;913.5
-7.688784699;111.115370959;941.4
-7.694762111;111.115402820;1026.2
-7.699223506;111.115104701;892.3
-7.702693674;111.115069368;937.0
-7.704267215;111.115063759;924.5
-7.707419012;111.115700021;954.5
-7.710879326;111.116336151;1006.0
-7.713799405;111.116755869;882.6
-7.716998295;111.117611679;879.6
-7.719508308;111.118266737;921.3
-7.721065730;111.118610514;959.2
-7.722679510;111.119177348;919.4
-7.725577137;111.119693230;857.8
-7.727157966;111.119993867;892.6
-7.728682541;111.120052441;932.9
-7.732227560;111.119888351;883.4
-7.737319499;111.120082957;849.9
-7.741806454;111.119934508;786.5
-7.745328373;111.119828526;780.8
-7.749806383;111.120682722;763.1
-7.752969191;111.121284168;771.8
-7.756009823;111.121705177;680.9
-7.759063264;111.122735743;736.2
-7.760689798;111.122996388;743.1
-7.762946371;111.123576112;691.2
-7.764881480;111.123841523;736.8
-7.767178978;111.124716726;682.4
-7.768492432;111.126286329;667.6
-7.770128497;111.128172085;662.4
-7.771100078;111.129765790;698.7
-7.771747260;111.130720137;708.7
-7.772073869;111.132006431;713.1
-7.771156431;111.134919583;715.8
-7.771191483;111.136518544;702.2
-7.770157763;111.140146314;767.0
-7.767539433;111.141533468;808.4
-7.762202438;111.141601269;792.1
-7.755620212;111.142525863;941.4
-7.751428803;111.142660562;988.7
-7.747971431;111.142713908;976.4
-7.746425237;111.142718752;975.3
-7.741582706;111.142892503;1025.6
-7.735291622;111.142996570;1024.3
-7.728920782;111.142857039;1093.9
-7.722962447;111.142614442;1051.1
-7.718808632;111.142442651;1114.8
-7.714958993;111.141973313;1226.2
-7.708941772;111.141853330;1303.0
-7.702682240;111.141618876;1251.7
-7.697375919;111.141637004;1184.1
-7.695516468;111.141239421;1090.4
-7.691063567;111.140536021;1247.6
-7.682877674;111.139216357;1357.8
-7.676267918;111.138478494;1125.9
-7.670314471;111.138676807;1223.5
-7.664023004;111.138743735;1161.1
-7.658356212;111.138817753;1167.1
-7.650881799;111.139375325;1243.5
-7.645267664;111.139522813;1303.8
-7.639975693;111.139662202;1339.6
-7.634683443;111.139792704;1323.5
-7.629155794;111.139995238;1416.2
-7.623762896;111.140017591;1382.2
-7.621752965;111.139938573;1271.2
-7.614587074;111.140101230;1314.5
-7.607835760;111.140101150;1210.1
-7.603105140;111.139858720;1181.4
-7.596771461;111.139942547;1166.0
-7.589733211;111.139996816;1093.0
-7.586186206;111.140013319;1087.6
-7.583884274;111.140002133;1018.9
-7.580178908;111.140261065;915.7
-7.578571134;111.140276147;908.4
-7.574428739;111.141120046;1005.8
-7.571303850;111.141189695;1031.7
-7.567180553;111.141110376;903.5
-7.564526213;111.141102817;851.6
-7.562198618;111.141095408;824.8
-7.559312481;111.141767211;791.2
-7.557775466;111.142767056;803.7
-7.556855385;111.144065579;809.9
-7.555557210;111.146935346;776.3
-7.555526743;111.148195717;758.5
-7.556770641;111.151665674;733.4
-7.558797549;111.154214994;755.0
-7.561460105;111.155479014;784.4
-7.564737276;111.156410462;832.1
-7.568766433;111.157362119;912.4
-7.570358951;111.157336811;912.6
